[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_56.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_81.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_95.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_8.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_83.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_97.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_40.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_54.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_68.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_69.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_55.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_41.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_96.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_82.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_86.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_92.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_79.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_45.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_51.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_50.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_44.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_78.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_93.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_87.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_91.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_85.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_52.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_46.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_47.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_53.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_84.txt 
[2023-09-25 02:06:31] [信息     ] searchFilesMapping remove item. path: /Users/wangjianshen/Downloads/tmp/ ,fileKey: text_kb_90.txt 
[2023-09-25 02:06:49] [信息     ] The client has requested that the connection be closed 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_71.txt 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_51.txt 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_21.txt 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_41.txt 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_81.txt 
[2023-09-25 02:07:21] [严重     ] No file found, name:text_kb_51.txt 
[2023-09-25 02:07:21] [信息     ] lookup file text_kb_1.txt 
[2023-09-25 02:07:21] [严重     ] No file found, name:text_kb_81.txt 
[2023-09-25 02:07:21] [严重     ] No file found, name:text_kb_41.txt 
