[2023-09-25 02:08:36] [信息     ] 
The file server is started successfully. port: 9001 
[2023-09-25 02:09:11] [信息     ] send stream to 127.0.0.1:63066 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_46.txt ,fileSize= 1024 
[2023-09-25 02:09:11] [信息     ] send stream to 127.0.0.1:60460 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_86.txt ,fileSize= 1024 
[2023-09-25 02:09:11] [信息     ] send stream to 127.0.0.1:59554 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_96.txt ,fileSize= 1024 
[2023-09-25 02:09:11] [信息     ] send stream to 127.0.0.1:49747 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_16.txt ,fileSize= 1024 
[2023-09-25 02:09:12] [信息     ] send stream to 127.0.0.1:56803 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_66.txt ,fileSize= 1024 
[2023-09-25 02:09:12] [信息     ] send stream to 127.0.0.1:62134 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_26.txt ,fileSize= 1024 
[2023-09-25 02:09:12] [信息     ] send stream to 127.0.0.1:63096 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_76.txt ,fileSize= 1024 
[2023-09-25 02:09:12] [信息     ] send stream to 127.0.0.1:61501 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_7.txt ,fileSize= 1024 
[2023-09-25 02:09:13] [信息     ] send stream to 127.0.0.1:50410 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_57.txt ,fileSize= 1024 
[2023-09-25 02:09:13] [信息     ] send stream to 127.0.0.1:63678 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_37.txt ,fileSize= 1024 
[2023-09-25 02:09:13] [信息     ] send stream to 127.0.0.1:60183 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_47.txt ,fileSize= 1024 
[2023-09-25 02:09:13] [信息     ] send stream to 127.0.0.1:54675 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_87.txt ,fileSize= 1024 
[2023-09-25 02:09:13] [信息     ] send stream to 127.0.0.1:51835 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_97.txt ,fileSize= 1024 
[2023-09-25 02:09:14] [信息     ] send stream to 127.0.0.1:50251 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_17.txt ,fileSize= 1024 
[2023-09-25 02:09:14] [信息     ] send stream to 127.0.0.1:59323 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_67.txt ,fileSize= 1024 
[2023-09-25 02:09:14] [信息     ] send stream to 127.0.0.1:61811 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_27.txt ,fileSize= 1024 
[2023-09-25 02:09:14] [信息     ] send stream to 127.0.0.1:63667 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_77.txt ,fileSize= 1024 
[2023-09-25 02:09:14] [信息     ] send stream to 127.0.0.1:62496 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_8.txt ,fileSize= 1024 
[2023-09-25 02:09:15] [信息     ] send stream to 127.0.0.1:59515 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_58.txt ,fileSize= 1024 
[2023-09-25 02:09:15] [信息     ] send stream to 127.0.0.1:62887 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_38.txt ,fileSize= 1024 
[2023-09-25 02:09:15] [信息     ] send stream to 127.0.0.1:53034 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_48.txt ,fileSize= 1024 
[2023-09-25 02:09:15] [信息     ] send stream to 127.0.0.1:63556 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_88.txt ,fileSize= 1024 
[2023-09-25 02:09:15] [信息     ] send stream to 127.0.0.1:60937 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_98.txt ,fileSize= 1024 
[2023-09-25 02:09:16] [信息     ] send stream to 127.0.0.1:63202 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_18.txt ,fileSize= 1024 
[2023-09-25 02:09:16] [信息     ] send stream to 127.0.0.1:51766 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_68.txt ,fileSize= 1024 
[2023-09-25 02:09:16] [信息     ] send stream to 127.0.0.1:63045 finished , file /Users/wangjianshen/Downloads/tmp/text_kb_28.txt ,fileSize= 1024 
